model,prompt,n_total,p_male,p_female,gender_bias,p_arab,p_asian,p_black,p_white,ethnicity_bias
Segmind,General,1120,0.9152,0.0848,0.8304,0.0000,0.0223,0.0080,0.9696,0.9696
Segmind,SE,1120,1.0000,0.0000,1.0000,0.0000,0.0027,0.0000,0.9973,0.9973
Segmind,Fair,1120,0.7991,0.2009,0.5982,0.0018,0.6366,0.1750,0.1866,0.6348
SDXL,General,1109,0.8550,0.1450,0.7100,0.0000,0.1064,0.0577,0.8359,0.8359
SDXL,SE,1098,0.9807,0.0193,0.9615,0.0000,0.0091,0.0036,0.9872,0.9872
SDXL,Fair,1120,0.2991,0.7009,0.4018,0.0000,0.0473,0.9437,0.0089,0.9437
Flux,General,1118,0.7321,0.2679,0.4643,0.0000,0.3605,0.0555,0.5841,0.5841
Flux,SE,1120,0.9964,0.0036,0.9929,0.0000,0.1420,0.0009,0.8571,0.8571
Flux,Fair,1120,0.5009,0.4991,0.0018,0.0000,0.5500,0.2536,0.1964,0.5500
